count,experiment,ID,age,handedness,sex,other_sex,course,ntrials-same-20,ntrials-same-23,ntrials-same-24,ntrials-same-25,ntrials-same-26,ntrials-same-27,ntrials-same-30,ntrials-small-20,ntrials-small-23,ntrials-small-24,ntrials-small-25,ntrials-small-26,ntrials-small-27,ntrials-small-30,rt-same-20,rt-same-23,rt-same-24,rt-same-25,rt-same-26,rt-same-27,rt-same-30,rt-small-20,rt-small-23,rt-small-24,rt-small-25,rt-small-26,rt-small-27,rt-small-30,testbigger-same-20,testbigger-same-23,testbigger-same-24,testbigger-same-25,testbigger-same-26,testbigger-same-27,testbigger-same-30,testbigger-small-20,testbigger-small-23,testbigger-small-24,testbigger-small-25,testbigger-small-26,testbigger-small-27,testbigger-small-30,pse-same,pse-same-avefit,slope-same,slope-same-avefit,pse-small,pse-small-avefit,slope-small,slope-small-avefit
31,0,7537,19,right,female,,NRSC2200_W2023,20,20,20,20,20,20,20,20,20,20,20,20,20,20,910.650000011921,1762.074999988079,1428.5950000047683,1694.1550000071525,1877.7800000548364,1092.6199999570847,972.785000026226,1143.4599999904633,2085.364999961853,1504.335000026226,1476.0650000095368,1499.5349999904633,1479.4949999928474,1134.6350000023842,0.0,0.05,0.2,0.65,0.8,0.9,1.0,0.0,0.15,0.3,0.45,1.0,0.95,0.9,24.91926828829174,24.99231762651599,0.30210092166974817,0.1921818530881045,24.633412183336148,23.10621932607183,0.36068335615869607,0.153649371362767
32,0,7572,19,right,female,,NRSC2200_W2023,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1019.305,1399.43,1521.41,3865.3050000000003,2771.19,1703.5250000000003,1417.56,2076.1449999999995,3682.919999999999,1776.8,1397.5099999999998,980.3700000000001,884.0,651.18,0.0,0.0,0.25,0.4,0.95,1.0,1.0,0.0,0.5,0.95,1.0,1.0,1.0,1.0,24.877908379329053,24.99231762651599,0.47309483208324365,0.1921818530881045,22.9993906751169,23.10621932607183,0.6573998625798572,0.153649371362767
33,0,8143,19,right,female,,NRSC2200_W2023,20,20,20,20,20,20,20,20,20,20,20,20,20,20,670.3000000011176,1040.784999999404,1702.8299999993294,1142.764999999851,1665.2649999987334,896.9799999993295,834.200000000745,930.6600000012666,1024.9250000018626,2134.859999998659,864.2400000017136,1268.360000000149,983.6150000005961,690.0600000008941,0.0,0.05,0.45,0.35,0.8,0.9,0.95,0.1,0.4,0.7,0.85,1.0,0.9,0.95,24.94283243270536,24.99231762651599,0.2571767261952336,0.1921818530881045,23.32627019372663,23.10621932607183,0.3072138870416826,0.153649371362767
34,0,8308,20,ambi,male,,NRSC2200_W2023,20,20,20,20,20,20,20,20,20,20,20,20,20,20,883.109999999404,876.2900000095367,1002.1349999964237,1026.6749999940396,1711.5700000017882,1003.059999999404,748.1100000023841,919.7600000053644,814.1150000035763,788.0900000035763,716.8199999988079,692.0450000077486,582.3249999970197,576.3050000071526,0.0,0.2,0.3,0.55,0.75,0.75,1.0,0.65,0.8,0.95,1.0,1.0,1.0,1.0,24.947742008924866,24.99231762651599,0.18911438844772463,0.1921818530881045,19.394890683082536,23.10621932607183,0.1400221102274126,0.153649371362767
35,0,8407,19,left,female,,NRSC2200_W2023,20,20,20,20,20,20,20,20,20,20,20,20,20,20,661.545,674.3950000000001,979.0149999999998,956.3599999999999,710.99,821.275,821.4349999999998,563.8199999999998,695.22,682.865,1009.51,602.1,606.6100000000001,665.7699999999999,0.05,0.1,0.2,0.5,0.55,0.7,0.85,0.05,0.15,0.2,0.5,0.4,0.55,0.55,25.884662742973752,24.99231762651599,0.1252322288138849,0.1921818530881045,27.427855705523328,23.10621932607183,0.07782246572937183,0.153649371362767
36,0,8909,19,right,female,,NRSC2200_W2023,20,20,20,20,20,20,20,20,20,20,20,20,20,20,891.5000000000466,1179.15,1339.1000000000931,803.0499999999535,1012.9999999998603,926.9999999999534,726.85,806.0,967.8000000000932,893.4499999999534,966.65,762.9499999999534,765.9000000001397,682.7999999999068,0.2,0.45,0.25,0.7,0.5,0.75,0.95,0.2,0.45,0.55,0.75,0.85,0.85,0.9,24.411792674861857,24.99231762651599,0.09442231686327268,0.1921818530881045,23.15044424667083,23.10621932607183,0.12369985296009825,0.153649371362767
37,0,9172,19,right,female,,NRSC2200_W2023,20,20,20,20,20,20,20,20,20,20,20,20,20,20,612.1500000000058,609.9499999999941,634.4500000000116,522.6999999999978,560.5500000000022,586.9500000000007,586.4499999999969,718.9000000000078,637.1499999999993,663.8999999999957,606.4000000000075,626.5999999999991,594.0999999999906,542.1999999999949,0.15,0.55,0.45,0.55,0.5,0.55,1.0,0.25,0.7,0.9,0.8,0.9,0.85,1.0,24.485346906190678,24.99231762651599,0.08894751465988614,0.1921818530881045,21.61369647420614,23.10621932607183,0.11344244739518539,0.153649371362767
38,0,9292,19,right,female,,NRSC2200_W2023,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1308.3900000095368,2345.725000011921,3123.5000000059604,3519.755000001192,3656.9100000083445,2208.6399999976156,1138.2450000107287,1427.0100000083446,3391.7899999976157,4389.084999996424,2719.290000003576,2462.9949999809264,2626.5450000047686,2193.4200000047686,0.0,0.15,0.4,0.5,0.5,0.9,1.0,0.0,0.3,0.55,0.45,0.7,0.8,0.95,25.05390828646079,24.99231762651599,0.19681637571647553,0.1921818530881045,24.671488770066524,23.10621932607183,0.14225555994774677,0.153649371362767
50,0,0319,22,right,female,,PSYC4260_F2021,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1907.3,1273.240000000596,1005.8950000017882,979.8799999982118,989.4449999958276,944.0550000041724,932.0199999988079,1629.5849999964237,988.080000001192,935.4999999970198,887.290000000596,827.0500000059604,967.2599999994039,815.9799999952317,0.15,0.3,0.35,0.55,0.5,0.65,0.9,0.1,0.6,0.55,0.7,0.75,0.8,0.95,25.168450357288414,24.99231762651599,0.09318106795694767,0.1921818530881045,23.395753484948433,23.10621932607183,0.10864486166202568,0.153649371362767
47,0,0345,21,right,female,,PSYC4260_F2021,20,20,20,20,20,20,20,20,20,20,20,20,20,20,793.7500000000058,1156.3499999999942,1344.0000000000146,1059.0499999999913,2049.1500000000146,900.4500000000087,872.4499999999956,1146.5500000000175,1182.4999999999914,1626.949999999984,1218.2000000000073,763.449999999984,1059.6500000000146,815.000000000003,0.1,0.1,0.15,0.45,0.75,0.9,1.0,0.0,0.5,0.7,0.9,0.95,1.0,0.95,25.180320948765136,24.99231762651599,0.3182182022707006,0.1921818530881045,23.170868176474272,23.10621932607183,0.2877397016613584,0.153649371362767
42,0,0972,23,right,female,,PSYC4260_F2021,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1198.339999999851,2181.624999997765,2104.105000001192,3990.479999998957,2157.775000000745,1079.499999999255,885.7449999988079,1145.5549999989569,2145.5000000029804,1421.470000001043,1624.210000000894,1180.210000000894,1479.699999999255,750.504999999702,0.1,0.0,0.1,0.55,0.85,1.0,1.0,0.0,0.5,0.85,0.95,0.85,0.8,0.85,25.002216534425926,24.99231762651599,0.5061907080236272,0.1921818530881045,23.00184038758026,23.10621932607183,0.5038797700255522,0.153649371362767
