"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","responses","button_pressed","images","left_choice","right_choice"
"","image-button-response","425","349535","0.0-425.0","null","stimuli/images_hvm10/im163.png","","","null","163","8","2"
"","html-button-response","426","350184","0.0-426.0","649","","","","0","","",""
"","html-keyboard-response","427","351188","0.0-427.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","428","351694","0.0-428.0","null","stimuli/images_hvm10/im166.png","","","null","166","2","8"
"","html-button-response","429","352544","0.0-429.0","849","","","","0","","",""
"","html-keyboard-response","430","353548","0.0-430.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","431","354050","0.0-431.0","null","stimuli/images_hvm10/im129.png","","","null","129","9","6"
"","html-button-response","432","355064","0.0-432.0","1012","","","","0","","",""
"","html-keyboard-response","433","356069","0.0-433.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","434","356570","0.0-434.0","null","stimuli/images_hvm10/im128.png","","","null","128","6","0"
"","html-button-response","435","357448","0.0-435.0","878","","","","0","","",""
"","html-keyboard-response","436","358451","0.0-436.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","437","358952","0.0-437.0","null","stimuli/images_hvm10/im164.png","","","null","164","8","6"
"","html-button-response","438","359879","0.0-438.0","926","","","","0","","",""
"","html-keyboard-response","439","360882","0.0-439.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","440","361383","0.0-440.0","null","stimuli/images_hvm10/im165.png","","","null","165","1","8"
"","html-button-response","441","362501","0.0-441.0","1117","","","","1","","",""
"","html-keyboard-response","442","363505","0.0-442.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","443","364008","0.0-443.0","null","stimuli/images_hvm10/im133.png","","","null","133","6","4"
"","html-button-response","444","364701","0.0-444.0","692","","","","0","","",""
"","html-keyboard-response","445","365704","0.0-445.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","446","366207","0.0-446.0","null","stimuli/images_hvm10/im167.png","","","null","167","8","4"
"","html-button-response","447","366773","0.0-447.0","566","","","","0","","",""
"","html-keyboard-response","448","367776","0.0-448.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","449","368277","0.0-449.0","null","stimuli/images_hvm10/im168.png","","","null","168","1","8"
"","html-button-response","450","369061","0.0-450.0","783","","","","1","","",""
"","html-keyboard-response","451","370063","0.0-451.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","452","370568","0.0-452.0","null","stimuli/images_hvm10/im170.png","","","null","170","8","0"
"","html-button-response","453","371686","0.0-453.0","1117","","","","0","","",""
"","html-keyboard-response","454","372689","0.0-454.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","455","373191","0.0-455.0","null","stimuli/images_hvm10/im171.png","","","null","171","8","2"
